t0,sigma_min,sigma_kv,lambda,corridor,min_zeta,kv_val,kv_ratio,danger,scale_factor,strip_width
292.5266,0.98693,0.98693,0.0,Pre-leak,1.21597793,1.21597793,1.0,False,0.05881,0.48693
297.6351,0.98697,0.98697,0.0,Pre-leak,1.46150561,1.46150561,1.0,False,0.05866,0.48697
302.8329,0.53605,0.987,0.92598,CTR,0.39785236,0.70539452,0.564014,True,0.0585,0.487
330.2151,0.65701,0.98717,0.67771,BAL,0.51927298,0.59020897,0.879812,False,0.05775,0.48717
324.5474,0.7714,0.98713,0.44286,CHA,0.97465233,0.99937426,0.975263,False,0.0579,0.48713
308.1214,0.98703,0.98703,0.0,Pre-leak,2.68309982,2.68309982,1.0,False,0.05835,0.48703
318.977,0.53278,0.9871,0.93269,CTR,0.50325189,0.94288605,0.533736,True,0.05805,0.4871
313.5022,0.98707,0.98707,0.0,Pre-leak,0.83142096,0.83142096,1.0,False,0.0582,0.48707
347.8191,0.98726,0.98726,0.0,Pre-leak,1.0247922,1.0247922,1.0,False,0.05732,0.48726
335.9818,0.9872,0.9872,0.0,Pre-leak,2.32361278,2.32361278,1.0,False,0.05761,0.4872
341.8492,0.59164,0.98723,0.81191,COL,0.48478458,0.65482425,0.740328,True,0.05746,0.48723
353.8932,0.9873,0.9873,0.0,Pre-leak,1.80174266,1.80174266,1.0,False,0.05717,0.4873
360.0733,0.87942,0.98733,0.22143,BRT,1.02696575,1.02958598,0.997455,False,0.05703,0.48733
366.3615,0.54915,0.98736,0.89914,COL,0.52235622,0.81376472,0.641901,True,0.05688,0.48736
372.7594,0.77481,0.98739,0.43615,CHA,1.18758766,1.20936794,0.98199,False,0.05674,0.48739
379.269,0.98742,0.98742,0.0,Pre-leak,1.18094683,1.18094683,1.0,False,0.0566,0.48742
385.8923,0.50337,0.98745,0.99308,CTR,0.06187934,0.46079407,0.134288,True,0.05646,0.48745
399.488,0.98752,0.98752,0.0,Pre-leak,1.84750489,1.84750489,1.0,False,0.05618,0.48752
392.6313,0.81085,0.98748,0.36234,CHA,0.55427475,0.57289163,0.967504,False,0.05632,0.48748
406.4644,0.98755,0.98755,0.0,Pre-leak,2.42675253,2.42675253,1.0,False,0.05604,0.48755
428.1332,0.5001,0.98764,0.99979,CTR,0.02026539,0.82187092,0.024658,True,0.05563,0.48764
413.5627,0.77819,0.98758,0.42944,CHA,0.76247381,0.77768507,0.98044,False,0.05591,0.48758
450.9572,0.98773,0.98773,0.0,Pre-leak,0.94442992,0.94442992,1.0,False,0.05523,0.48773
443.2171,0.81098,0.9877,0.36234,CHA,0.99835751,1.01201578,0.986504,False,0.05536,0.4877
420.7849,0.54263,0.98761,0.91256,CTR,0.27461665,0.48231575,0.569371,True,0.05577,0.48761
435.6099,0.98767,0.98767,0.0,Pre-leak,1.98574621,1.98574621,1.0,False,0.0555,0.48767
458.8325,0.98776,0.98776,0.0,Pre-leak,0.85099528,0.85099528,1.0,False,0.0551,0.48776
466.8452,0.65393,0.98779,0.68442,BAL,0.32242369,0.4016338,0.80278,False,0.05497,0.48779
474.9979,0.98781,0.98781,0.0,Pre-leak,1.0994888,1.0994888,1.0,False,0.05484,0.48781
483.293,0.82744,0.98784,0.32879,CHA,0.55145854,0.5688104,0.969494,False,0.0547,0.48784
500.3203,0.5001,0.9879,0.9998,CTR,0.04743244,0.85736091,0.055324,True,0.05445,0.4879
491.733,0.98787,0.98787,0.0,Pre-leak,1.31677407,1.31677407,1.0,False,0.05457,0.48787
517.9475,0.62125,0.98796,0.75152,BAL,0.44618751,0.63478261,0.702898,False,0.05419,0.48796
509.0576,0.70636,0.98793,0.57706,CHA,1.26893146,1.31378241,0.965861,False,0.05432,0.48793
564.7805,0.67696,0.9881,0.63745,BAL,0.55915628,0.64455134,0.867512,False,0.05356,0.4881
526.9926,0.98799,0.98799,0.0,Pre-leak,2.36931342,2.36931342,1.0,False,0.05406,0.48799
574.6435,0.98812,0.98812,0.0,Pre-leak,0.6692611,0.6692611,1.0,False,0.05344,0.48812
536.1957,0.98801,0.98801,0.0,Pre-leak,1.29115468,1.29115468,1.0,False,0.05394,0.48801
545.5595,0.5132,0.98804,0.97295,CTR,0.32467611,0.86769539,0.374182,True,0.05381,0.48804
555.0868,0.98807,0.98807,0.0,Pre-leak,1.71047461,1.71047461,1.0,False,0.05369,0.48807
584.6787,0.53286,0.98815,0.93269,CTR,0.37884161,0.68867595,0.550101,True,0.05331,0.48815
594.8892,0.98818,0.98818,0.0,Pre-leak,1.18558686,1.18558686,1.0,False,0.05319,0.48818
615.8482,0.98823,0.98823,0.0,Pre-leak,1.40721998,1.40721998,1.0,False,0.05295,0.48823
605.278,0.98821,0.98821,0.0,Pre-leak,1.48131232,1.48131232,1.0,False,0.05307,0.48821
626.603,0.98826,0.98826,0.0,Pre-leak,1.07598642,1.07598642,1.0,False,0.05283,0.48826
660.0075,0.83105,0.98834,0.32208,CHA,0.8518212,0.86721265,0.982252,False,0.05247,0.48834
637.5456,0.54597,0.98829,0.90585,CTR,0.17198596,0.38097558,0.451436,True,0.05271,0.48829
671.5335,0.98837,0.98837,0.0,Pre-leak,2.03751686,2.03751686,1.0,False,0.05235,0.48837
648.6794,0.52631,0.98831,0.94611,CTR,0.26682098,0.54507471,0.489513,True,0.05259,0.48831
695.1928,0.98842,0.98842,0.0,Pre-leak,0.72526084,0.72526084,1.0,False,0.05212,0.48842
732.2538,0.98849,0.98849,0.0,Pre-leak,1.31719269,1.31719269,1.0,False,0.05177,0.48849
707.3332,0.98844,0.98844,0.0,Pre-leak,2.30670173,2.30670173,1.0,False,0.052,0.48844
683.2607,0.98839,0.98839,0.0,Pre-leak,0.74116112,0.74116112,1.0,False,0.05224,0.48839
