b,p,q,is_square,k,phi_b,nC,nG,unit_frac,n_unit,n_zero,n_mid,unit_density,zero_density,nonunit_density,interleave,unit_group_coverage,cc_unit_frac,cc_zero_frac,gg_zero_frac,gg_unit_frac,cg_unit_frac,cg_zero_frac,smallest_prime_factor
4,2,2,1,2,2,1,1,0.5,1,1,2,0.25,0.25,0.5,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.0,2
4,2,2,1,3,2,2,1,0.6666666666666666,4,1,4,0.4444444444444444,0.1111111111111111,0.4444444444444444,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2
