p,p_sq,n_lines,expected_survivors,found_survivors_cpu,found_survivors_gpu,survivors_correct,t_build_s,t_verify_s,t_cpu_s,t_gpu_s,t_k1_s,t_k2_s,gap_ratio,hit_rate_k2
3,9,12,8,8,8,True,0.00099,3.1e-07,0.001478,0.001478,4.445e-05,2.656e-05,4730.84,0.583
7,49,56,48,48,48,True,0.000129,9e-08,2e-05,2e-05,1.83e-06,3.12e-06,236.49,0.821
13,169,182,168,168,168,True,0.000525,9e-08,4.8e-05,4.8e-05,8.35e-06,1.214e-05,558.14,0.929
23,529,552,528,528,528,True,0.005943,1.2e-07,0.000213,0.000213,2.594e-05,2.771e-05,1743.44,0.95
101,10201,10302,10200,10200,10200,True,0.670063,2e-07,0.004239,0.004239,0.00136344,0.00123323,20984.68,0.99
211,44521,44732,44520,44520,44520,True,3.495298,2.6e-07,0.018683,0.018683,0.005912,0.00607785,72413.67,1.0
